Dataset,Column,Missing Values,Data Type
customers,customer_id,0,object
customers,customer_unique_id,0,object
customers,customer_zip_code_prefix,0,int64
customers,customer_city,0,object
customers,customer_state,0,object
geolocation,geolocation_zip_code_prefix,0,int64
geolocation,geolocation_lat,0,float64
geolocation,geolocation_lng,0,float64
geolocation,geolocation_city,0,object
geolocation,geolocation_state,0,object
order_items,order_id,0,object
order_items,order_item_id,0,int64
order_items,product_id,0,object
order_items,seller_id,0,object
order_items,shipping_limit_date,0,object
order_items,price,0,float64
order_items,freight_value,0,float64
orders,order_id,0,object
orders,customer_id,0,object
orders,order_status,0,object
orders,order_purchase_timestamp,0,object
orders,order_approved_at,160,object
orders,order_delivered_carrier_date,1783,object
orders,order_delivered_customer_date,2965,object
orders,order_estimated_delivery_date,0,object
payments,order_id,0,object
payments,payment_sequential,0,int64
payments,payment_type,0,object
payments,payment_installments,0,int64
payments,payment_value,0,float64
products,product_id,0,object
products,product category,610,object
products,product_name_length,610,float64
products,product_description_length,610,float64
products,product_photos_qty,610,float64
products,product_weight_g,2,float64
products,product_length_cm,2,float64
products,product_height_cm,2,float64
products,product_width_cm,2,float64
sellers,seller_id,0,object
sellers,seller_zip_code_prefix,0,int64
sellers,seller_city,0,object
sellers,seller_state,0,object
