month,total_sales
2016-09-01,267.36
2016-10-01,49507.66
2016-12-01,10.9
2017-01-01,120312.87
2017-02-01,247303.02
2017-03-01,374344.3
2017-04-01,359927.23
2017-05-01,506071.14
2017-06-01,433038.6
2017-07-01,498031.48
2017-08-01,573971.68
2017-09-01,624401.69
2017-10-01,664219.43
2017-11-01,1010271.37
2017-12-01,743914.17
2018-01-01,950030.36
2018-02-01,844178.71
2018-03-01,983213.44
2018-04-01,996647.75
2018-05-01,996517.68
2018-06-01,865124.31
2018-07-01,895507.22
2018-08-01,854686.33
2018-09-01,145.0
